32;32;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrowiec Świętokrzyski 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrowiec Świętokrzyski 1;582 km;6 hr 9 min
33;33;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnik k. Lublina 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnik k. Lublina 1;636 km;6 hr 29 min
34;34;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 9;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 9;617 km;6 hr 16 min
35;35;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Choszczno 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Choszczno 1;329 km;4 hr 47 min
36;36;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puławy 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puławy 1;553 km;6 hr 3 min
37;37;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jawor 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jawor 1;533 km;6 hr 21 min
38;38;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 6;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 6;356 km;3 hr 48 min
39;39;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Koszalin 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Koszalin 2;178 km;3 hr 7 min
40;40;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 1;306 km;3 hr 40 min
41;41;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Wielkopolski 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Wielkopolski 2;386 km;4 hr 57 min
42;42;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Siedlce 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Siedlce 2;447 km;5 hr 15 min
43;43;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyrzyce;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyrzyce;372 km;4 hr 59 min
44;44;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Mazowiecka 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Mazowiecka 1;359 km;3 hr 56 min
45;45;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsk Podlaski 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsk Podlaski 1;463 km;5 hr 18 min
46;46;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rybnik 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rybnik 1;587 km;6 hr 33 min
47;47;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skarżysko-Kamienna 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skarżysko-Kamienna 2;535 km;5 hr 24 min
48;48;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 4;-1;-1
49;49;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 2;-1;-1
50;50;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Włocławek 14;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Włocławek 14;-1;-1
51;51;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsko-Biała 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsko-Biała 2;612 km;6 hr 58 min
52;52;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 22;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 22;561 km;6 hr 15 min
53;53;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyskowice;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyskowice;557 km;6 hr 15 min
54;54;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puck;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puck;30.7 km;46 min
55;55;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 1;355 km;3 hr 46 min
56;56;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 6;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 6;17.8 km;33 min
57;57;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 2;562 km;6 hr 11 min
58;58;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Zabrze S101;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Zabrze S101;547 km;6 hr 7 min
59;59;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tarnowskie Góry 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tarnowskie Góry 1;528 km;6 hr 4 min
60;60;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Częstochowa 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Częstochowa 1;470 km;5 hr 27 min
61;61;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kutno 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kutno 1;293 km;2 hr 58 min
62;62;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 4;448 km;4 hr 56 min
63;63;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 16;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 16;189 km;1 hr 53 min
64;64;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 28;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 28;627 km;7 hr 11 min
65;65;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Mogilno 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Mogilno 1;271 km;3 hr 8 min
66;66;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Grodzisk Mazowiecki 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Grodzisk Mazowiecki 1;417 km;4 hr 11 min
67;67;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gostyń Poznański 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gostyń Poznański 1;376 km;5 hr 1 min
68;68;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zawiercie 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zawiercie 1;546 km;6 hr 13 min
69;69;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tczew 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tczew 1;68.2 km;1 hr 2 min
70;70;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 2;318 km;3 hr 41 min
71;71;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 12;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 12;302 km;3 hr 28 min
72;72;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jędrzejów 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jędrzejów 1;606 km;6 hr 1 min
73;73;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 79;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 79;441 km;4 hr 28 min
74;74;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kamień Pomorski;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kamień Pomorski;286 km;4 hr 23 min
75;75;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lesko;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lesko;787 km;9 hr 12 min
76;76;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Suchowola;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Suchowola;438 km;5 hr 10 min
77;77;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rumia 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rumia 1;10.3 km;20 min
78;78;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sosnowiec 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sosnowiec 1;551 km;6 hr 12 min
79;79;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zgorzelec 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zgorzelec 1;604 km;7 hr 5 min
80;80;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 68;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 68;335 km;4 hr 19 min
81;81;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skoczów;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skoczów;617 km;6 hr 54 min
82;82;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bieruń Nowy;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bieruń Nowy;572 km;6 hr 29 min
83;83;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Giżycko 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Giżycko 1;323 km;3 hr 37 min
84;84;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pieńsk;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pieńsk;580 km;7 hr
85;85;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Śmigiel;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Śmigiel;388 km;4 hr 41 min
86;86;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nowy Dwór Gdański;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nowy Dwór Gdański;76.7 km;56 min
87;87;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kosów Lacki;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kosów Lacki;389 km;4 hr 28 min
88;88;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Środa Śląska;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Środa Śląska;606 km;6 hr 3 min
89;89;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Braniewo 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Braniewo 1;140 km;1 hr 33 min
90;90;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Aleksandrów Kujawski 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Aleksandrów Kujawski 1;210 km;2 hr 15 min
91;91;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Przemyśl 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Przemyśl 2;789 km;8 hr 39 min
92;92;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Strzelno;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Strzelno;255 km;2 hr 52 min
93;93;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Opole 6;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Opole 6;563 km;6 hr
94;94;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wejherowo 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wejherowo 1;24.3 km;42 min
95;95;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 24;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 24;20.4 km;27 min
96;96;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 4;6.3 km;15 min
97;97;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Piastów 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Piastów 1;428 km;4 hr 14 min
98;98;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sulejówek 3;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sulejówek 3;472 km;5 hr 12 min
99;99;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Radomsko 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Radomsko 1;434 km;4 hr 58 min
100;100;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Brzeszcze;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Brzeszcze;585 km;6 hr 45 min
101;101;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Dzierzgoń;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Dzierzgoń;133 km;1 hr 37 min
102;102;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Elbląg 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Elbląg 2;98.5 km;1 hr 9 min
103;103;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 10;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 10;5.9 km;13 min
104;104;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 29;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 29;332 km;4 hr 38 min
105;105;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Raszyn;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Raszyn;436 km;4 hr 15 min
106;106;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdańsk 50;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdańsk 50;36.0 km;32 min
107;107;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Żukowo k. Kartuz;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Żukowo k. Kartuz;31.0 km;42 min
108;108;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdańsk 5;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdańsk 5;13.8 km;26 min
109;109;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Pruszcz Gdański 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Pruszcz Gdański 1;41.7 km;38 min
110;110;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sieradz 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sieradz 2;429 km;4 hr 15 min
111;111;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sochaczew 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sochaczew 1;356 km;3 hr 46 min
112;112;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Otwock 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Otwock 1;471 km;5 hr 9 min
113;113;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płońsk 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płońsk 1;318 km;3 hr 49 min
114;114;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Otmuchów;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Otmuchów;684 km;6 hr 46 min
115;115;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Deszczno;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Deszczno;449 km;5 hr 31 min
116;116;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 50;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 50;620 km;6 hr 19 min
117;117;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nowy Sącz 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nowy Sącz 2;729 km;8 hr 15 min
118;118;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Porąbka k. Kęt;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Porąbka k. Kęt;603 km;7 hr 5 min
119;119;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Dąbrowa Górnicza 9;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Dąbrowa Górnicza 9;546 km;6 hr 8 min
120;120;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Białystok 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Białystok 2;457 km;4 hr 51 min
121;121;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 3;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 3;6.8 km;14 min
122;122;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 16;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 16;8.6 km;16 min
123;123;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 3;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 3;5.2 km;11 min
124;124;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);AP Gdynia;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);AP Gdynia;5.2 km;12 min
125;125;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Sopot 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Sopot 1;11.7 km;25 min
126;126;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 6;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 6;6.0 km;13 min
127;127;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 1;6.7 km;15 min
128;128;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 1;850 m;5 min
129;129;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sopot 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sopot 1;10.3 km;21 min
130;130;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 11;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 11;850 m;5 min
131;131;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);FUP Gdynia 4;7.2 km;15 min
